TeamID,TeamName,abbreviation,kenpom,scrape
1101,Abilene Chr,ABILENE CHRISTIAN,Abilene Christian,ABILENE CHRISTIAN
1102,Air Force,AIR FORCE,Air Force,AIR FORCE
1103,Akron,AKRON,Akron,AKRON
1104,Alabama,ALABAMA,Alabama,ALABAMA
1105,Alabama A&M,ALABAMA A&M,Alabama A&M;,ALABAMA A&M
1106,Alabama St,ALABAMA STATE,Alabama St.,ALABAMA STATE
1107,SUNY Albany,ALBANY (NY),Albany,ALBANY (NY)
1108,Alcorn St,ALCORN STATE,Alcorn St.,ALCORN STATE
1109,Alliant Intl,ALLIANT INTL,ALLIANT INTL,
1110,American Univ,AMERICAN,American,AMERICAN
1111,Appalachian St,APPALACHIAN STATE,Appalachian St.,APPALACHIAN STATE
1112,Arizona,ARIZONA,Arizona,ARIZONA
1113,Arizona St,ARIZONA STATE,Arizona St.,ARIZONA STATE
1116,Arkansas,ARKANSAS,Arkansas,ARKANSAS
1117,Arkansas St,ARKANSAS STATE,Arkansas St.,ARKANSAS STATE
1115,Ark Pine Bluff,ARKANSAS-PINE BLUFF,Arkansas Pine Bluff,ARKANSAS-PINE BLUFF
1118,Armstrong St,ARMSTRONG ST,ARMSTRONG ST,
1119,Army,ARMY,Army,ARMY
1120,Auburn,AUBURN,Auburn,AUBURN
1121,Augusta,AUGUSTA,AUGUSTA,
1122,Austin Peay,AUSTIN PEAY,Austin Peay,AUSTIN PEAY
1123,Ball St,BALL STATE,Ball St.,BALL STATE
1124,Baylor,BAYLOR,Baylor,BAYLOR
1468,Bellarmine,BELLARMINE,Bellarmine,BELLARMINE
1125,Belmont,BELMONT,Belmont,BELMONT
1126,Bethune-Cookman,BETHUNE-COOKMAN,Bethune Cookman,BETHUNE-COOKMAN
1127,Binghamton,BINGHAMTON,Binghamton,BINGHAMTON
1128,Birmingham So,BIRMINGHAM SO,BIRMINGHAM SO,
1129,Boise St,BOISE STATE,Boise St.,BOISE STATE
1130,Boston College,BOSTON COLLEGE,Boston College,BOSTON COLLEGE
1131,Boston Univ,BOSTON UNIVERSITY,Boston University,BOSTON UNIVERSITY
1132,Bowling Green,BOWLING GREEN STATE,Bowling Green,BOWLING GREEN STATE
1133,Bradley,BRADLEY,Bradley,BRADLEY
1140,BYU,BRIGHAM YOUNG,BYU,BRIGHAM YOUNG
1134,Brooklyn,BROOKLYN,BROOKLYN,
1135,Brown,BROWN,Brown,BROWN
1136,Bryant,BRYANT,Bryant,BRYANT
1137,Bucknell,BUCKNELL,Bucknell,BUCKNELL
1138,Buffalo,BUFFALO,Buffalo,BUFFALO
1139,Butler,BUTLER,Butler,BUTLER
1142,Cal Poly,CAL POLY,Cal Poly,CAL POLY
1167,CS Bakersfield,CAL STATE BAKERSFIELD,Cal St. Bakersfield,CAL STATE BAKERSFIELD
1168,CS Fullerton,CAL STATE FULLERTON,Cal St. Fullerton,CAL STATE FULLERTON
1169,CS Northridge,CAL STATE NORTHRIDGE,Cal St. Northridge,CAL STATE NORTHRIDGE
1143,California,CALIFORNIA,California,CALIFORNIA
1465,Cal Baptist,CALIFORNIA BAPTIST,Cal Baptist,CALIFORNIA BAPTIST
1144,Campbell,CAMPBELL,Campbell,CAMPBELL
1145,Canisius,CANISIUS,Canisius,CANISIUS
1147,Centenary,CENTENARY (LA),Centenary,
1146,Cent Arkansas,CENTRAL ARKANSAS,Central Arkansas,CENTRAL ARKANSAS
1148,Central Conn,CENTRAL CONNECTICUT STATE,Central Connecticut,CENTRAL CONNECTICUT STATE
1416,UCF,CENTRAL FLORIDA,UCF,UCF
1141,C Michigan,CENTRAL MICHIGAN,Central Michigan,CENTRAL MICHIGAN
1149,Charleston So,CHARLESTON SOUTHERN,Charleston Southern,CHARLESTON SOUTHERN
1150,Charlotte,CHARLOTTE,Charlotte,CHARLOTTE
1151,Chattanooga,CHATTANOOGA,Chattanooga,CHATTANOOGA
1152,Chicago St,CHICAGO STATE,Chicago St.,CHICAGO STATE
1153,Cincinnati,CINCINNATI,Cincinnati,CINCINNATI
1155,Clemson,CLEMSON,Clemson,CLEMSON
1156,Cleveland St,CLEVELAND STATE,Cleveland St.,CLEVELAND STATE
1157,Coastal Car,COASTAL CAROLINA,Coastal Carolina,COASTAL CAROLINA
1159,Colgate,COLGATE,Colgate,COLGATE
1158,Col Charleston,COLLEGE OF CHARLESTON,Charleston,COLLEGE OF CHARLESTON
1160,Colorado,COLORADO,Colorado,COLORADO
1161,Colorado St,COLORADO STATE,Colorado St.,COLORADO STATE
1162,Columbia,COLUMBIA,Columbia,COLUMBIA
1163,Connecticut,CONNECTICUT,Connecticut,CONNECTICUT
1164,Coppin St,COPPIN STATE,Coppin St.,COPPIN STATE
1165,Cornell,CORNELL,Cornell,CORNELL
1166,Creighton,CREIGHTON,Creighton,CREIGHTON
1171,Dartmouth,DARTMOUTH,Dartmouth,DARTMOUTH
1172,Davidson,DAVIDSON,Davidson,DAVIDSON
1173,Dayton,DAYTON,Dayton,DAYTON
1174,Delaware,DELAWARE,Delaware,DELAWARE
1175,Delaware St,DELAWARE STATE,Delaware St.,DELAWARE STATE
1176,Denver,DENVER,Denver,DENVER
1177,DePaul,DEPAUL,DePaul,DEPAUL
1178,Detroit,DETROIT MERCY,Detroit Mercy,DETROIT MERCY
1179,Drake,DRAKE,Drake,DRAKE
1180,Drexel,DREXEL,Drexel,DREXEL
1181,Duke,DUKE,Duke,DUKE
1182,Duquesne,DUQUESNE,Duquesne,DUQUESNE
1187,East Carolina,EAST CAROLINA,East Carolina,EAST CAROLINA
1190,ETSU,EAST TENNESSEE STATE,East Tennessee St.,EAST TENNESSEE STATE
1183,E Illinois,EASTERN ILLINOIS,Eastern Illinois,EASTERN ILLINOIS
1184,E Kentucky,EASTERN KENTUCKY,Eastern Kentucky,EASTERN KENTUCKY
1185,E Michigan,EASTERN MICHIGAN,Eastern Michigan,EASTERN MICHIGAN
1186,E Washington,EASTERN WASHINGTON,Eastern Washington,EASTERN WASHINGTON
1189,Elon,ELON,Elon,ELON
1191,Evansville,EVANSVILLE,Evansville,EVANSVILLE
1193,Fairfield,FAIRFIELD,Fairfield,FAIRFIELD
1192,F Dickinson,FAIRLEIGH DICKINSON,Fairleigh Dickinson,FDU
1196,Florida,FLORIDA,Florida,FLORIDA
1197,Florida A&M,FLORIDA A&M,Florida A&M;,FLORIDA A&M
1194,FL Atlantic,FLORIDA ATLANTIC,Florida Atlantic,FLORIDA ATLANTIC
1195,FL Gulf Coast,FLORIDA GULF COAST,Florida Gulf Coast,FLORIDA GULF COAST
1198,Florida Intl,FLORIDA INTERNATIONAL,FIU,FLORIDA INTERNATIONAL
1199,Florida St,FLORIDA STATE,Florida St.,FLORIDA STATE
1200,Fordham,FORDHAM,Fordham,FORDHAM
1201,Fresno St,FRESNO STATE,Fresno St.,FRESNO STATE
1202,Furman,FURMAN,Furman,FURMAN
1205,Gardner Webb,GARDNER-WEBB,Gardner Webb,GARDNER-WEBB
1206,George Mason,GEORGE MASON,George Mason,GEORGE MASON
1203,G Washington,GEORGE WASHINGTON,George Washington,GEORGE WASHINGTON
1207,Georgetown,GEORGETOWN,Georgetown,GEORGETOWN
1208,Georgia,GEORGIA,Georgia,GEORGIA
1204,Ga Southern,GEORGIA SOUTHERN,Georgia Southern,GEORGIA SOUTHERN
1209,Georgia St,GEORGIA STATE,Georgia St.,GEORGIA STATE
1210,Georgia Tech,GEORGIA TECH,Georgia Tech,GEORGIA TECH
1211,Gonzaga,GONZAGA,Gonzaga,GONZAGA
1212,Grambling,GRAMBLING,Grambling St.,GRAMBLING
1213,Grand Canyon,GRAND CANYON,Grand Canyon,GRAND CANYON
1453,WI Green Bay,GREEN BAY,Green Bay,GREEN BAY
1214,Hampton,HAMPTON,Hampton,HAMPTON
1215,Hardin-Simmons,HARDIN-SIMMONS,HARDIN-SIMMONS,
1216,Hartford,HARTFORD,Hartford,HARTFORD
1217,Harvard,HARVARD,Harvard,HARVARD
1218,Hawaii,HAWAII,Hawaii,HAWAII
1219,High Point,HIGH POINT,High Point,HIGH POINT
1220,Hofstra,HOFSTRA,Hofstra,HOFSTRA
1221,Holy Cross,HOLY CROSS,Holy Cross,HOLY CROSS
1222,Houston,HOUSTON,Houston,HOUSTON
1223,Houston Chr,HOUSTON CHRISTIAN,Houston Christian,HOUSTON CHRISTIAN
1224,Howard,HOWARD,Howard,HOWARD
1225,Idaho,IDAHO,Idaho,IDAHO
1226,Idaho St,IDAHO STATE,Idaho St.,IDAHO STATE
1228,Illinois,ILLINOIS,Illinois,ILLINOIS
1229,Illinois St,ILLINOIS STATE,Illinois St.,ILLINOIS STATE
1227,IL Chicago,ILLINOIS-CHICAGO,Illinois Chicago,ILLINOIS-CHICAGO
1230,Incarnate Word,INCARNATE WORD,Incarnate Word,INCARNATE WORD
1231,Indiana,INDIANA,Indiana,INDIANA
1232,Indiana St,INDIANA STATE,Indiana St.,INDIANA STATE
1233,Iona,IONA,Iona,IONA
1234,Iowa,IOWA,Iowa,IOWA
1235,Iowa St,IOWA STATE,Iowa St.,IOWA STATE
1237,IUPUI,IUPUI,IUPUI,IUPUI
1238,Jackson St,JACKSON STATE,Jackson St.,JACKSON STATE
1239,Jacksonville,JACKSONVILLE,Jacksonville,JACKSONVILLE
1240,Jacksonville St,JACKSONVILLE STATE,Jacksonville St.,JACKSONVILLE STATE
1241,James Madison,JAMES MADISON,James Madison,JAMES MADISON
1242,Kansas,KANSAS,Kansas,KANSAS
1282,Missouri KC,KANSAS CITY,UMKC,KANSAS CITY
1243,Kansas St,KANSAS STATE,Kansas St.,KANSAS STATE
1244,Kennesaw,KENNESAW STATE,Kennesaw St.,KENNESAW STATE
1245,Kent,KENT STATE,Kent St.,KENT STATE
1246,Kentucky,KENTUCKY,Kentucky,KENTUCKY
1247,La Salle,LA SALLE,La Salle,LA SALLE
1248,Lafayette,LAFAYETTE,Lafayette,LAFAYETTE
1249,Lamar,LAMAR,Lamar,LAMAR
1250,Lehigh,LEHIGH,Lehigh,LEHIGH
1251,Liberty,LIBERTY,Liberty,LIBERTY
1473,Lindenwood,LINDENWOOD,Lindenwood,LINDENWOOD
1252,Lipscomb,LIPSCOMB,Lipscomb,LIPSCOMB
1114,Ark Little Rock,LITTLE ROCK,Little Rock,LITTLE ROCK
1253,Long Beach St,LONG BEACH STATE,Long Beach St.,LONG BEACH STATE
1254,LIU Brooklyn,LONG ISLAND UNIVERSITY,LIU,LONG ISLAND UNIVERSITY
1255,Longwood,LONGWOOD,Longwood,LONGWOOD
1418,Louisiana,LOUISIANA,Louisiana,LOUISIANA
1261,LSU,LOUISIANA STATE,LSU,LOUISIANA STATE
1256,Louisiana Tech,LOUISIANA TECH,Louisiana Tech,LOUISIANA TECH
1419,ULM,LOUISIANA-MONROE,Louisiana Monroe,LOUISIANA-MONROE
1257,Louisville,LOUISVILLE,Louisville,LOUISVILLE
1260,Loyola-Chicago,LOYOLA (IL),Loyola Chicago,LOYOLA (IL)
1259,Loyola MD,LOYOLA (MD),Loyola MD,LOYOLA (MD)
1258,Loy Marymount,LOYOLA MARYMOUNT,Loyola Marymount,LOYOLA MARYMOUNT
1263,Maine,MAINE,Maine,MAINE
1264,Manhattan,MANHATTAN,Manhattan,MANHATTAN
1265,Marist,MARIST,Marist,MARIST
1266,Marquette,MARQUETTE,Marquette,MARQUETTE
1267,Marshall,MARSHALL,Marshall,MARSHALL
1268,Maryland,MARYLAND,Maryland,MARYLAND
1420,UMBC,MARYLAND-BALTIMORE COUNTY,UMBC,MARYLAND-BALTIMORE COUNTY
1271,MD E Shore,MARYLAND-EASTERN SHORE,Maryland Eastern Shore,MARYLAND-EASTERN SHORE
1269,Massachusetts,MASSACHUSETTS,Massachusetts,MASSACHUSETTS
1262,MA Lowell,MASSACHUSETTS-LOWELL,UMass Lowell,MASSACHUSETTS-LOWELL
1270,McNeese St,MCNEESE STATE,McNeese St.,MCNEESE STATE
1272,Memphis,MEMPHIS,Memphis,MEMPHIS
1273,Mercer,MERCER,Mercer,MERCER
1467,Merrimack,MERRIMACK,Merrimack,MERRIMACK
1274,Miami FL,MIAMI (FL),Miami FL,MIAMI (FL)
1275,Miami OH,MIAMI (OH),Miami OH,MIAMI (OH)
1276,Michigan,MICHIGAN,Michigan,MICHIGAN
1277,Michigan St,MICHIGAN STATE,Michigan St.,MICHIGAN STATE
1292,MTSU,MIDDLE TENNESSEE,Middle Tennessee,MIDDLE TENNESSEE
1454,WI Milwaukee,MILWAUKEE,Milwaukee,MILWAUKEE
1278,Minnesota,MINNESOTA,Minnesota,MINNESOTA
1279,Mississippi,MISSISSIPPI,Mississippi,MISSISSIPPI
1280,Mississippi St,MISSISSIPPI STATE,Mississippi St.,MISSISSIPPI STATE
1290,MS Valley St,MISSISSIPPI VALLEY STATE,Mississippi Valley St.,MISSISSIPPI VALLEY STATE
1281,Missouri,MISSOURI,Missouri,MISSOURI
1283,Missouri St,MISSOURI STATE,Missouri St.,MISSOURI STATE
1284,Monmouth NJ,MONMOUTH,Monmouth,MONMOUTH
1285,Montana,MONTANA,Montana,MONTANA
1286,Montana St,MONTANA STATE,Montana St.,MONTANA STATE
1287,Morehead St,MOREHEAD STATE,Morehead St.,MOREHEAD STATE
1288,Morgan St,MORGAN STATE,Morgan St.,MORGAN STATE
1289,Morris Brown,MORRIS BROWN,MORRIS BROWN,
1291,Mt St Mary's,MOUNT ST. MARY'S,Mount St. Mary's,MOUNT ST. MARY'S
1293,Murray St,MURRAY STATE,Murray St.,MURRAY STATE
1298,Navy,NAVY,Navy,NAVY
1301,NC State,NC STATE,N.C. State,NC STATE
1302,NE Illinois,NE ILLINOIS,NE ILLINOIS,
